scenario,distance_km,T_true,xi_true,T_hat,xi_hat,T_ci,xi_ci,I_AB,chi_BE,K_asymp,K_beta,secure,elapsed_ms
attack_collective,10,0.630957,0.01,0.353294,0.182124,0.00856374,0.0273355,0.0508688,1.92458,0,0,0,1961.11
attack_collective,10,0.630957,0.01,0.342492,0.170869,0.00842307,0.0256473,0.0492418,1.92098,0,0,0,1999.82
attack_collective,10,0.630957,0.01,0.347643,0.184161,0.00849449,0.0276411,0.0499628,1.92418,0,0,0,2017.92
attack_collective,10,0.630957,0.01,0.350435,0.176846,0.00852543,0.0265438,0.0504545,1.92318,0,0,0,1981.32
attack_collective,10,0.630957,0.01,0.345751,0.158708,0.00845756,0.023823,0.0498396,1.91912,0,0,0,1979.89
attack_collective,20,0.398107,0.01,0.217768,0.266279,0.00671586,0.0399587,0.0300088,1.91466,0,0,0,1979.46
attack_collective,20,0.398107,0.01,0.226594,0.26351,0.0068527,0.0395433,0.0312968,1.91608,0,0,0,1995.69
attack_collective,20,0.398107,0.01,0.21553,0.266214,0.00668053,0.0399489,0.029685,1.91421,0,0,0,1996.9
attack_collective,20,0.398107,0.01,0.220733,0.242455,0.00675604,0.0363851,0.0304997,1.91241,0,0,0,2061.89
attack_collective,20,0.398107,0.01,0.214087,0.27966,0.00666109,0.0419659,0.029444,1.91548,0,0,0,1997.11
attack_collective,40,0.158489,0.01,0.0870749,0.711558,0.00424969,0.106751,0.0114797,1.90877,0,0,0,2001
attack_collective,40,0.158489,0.01,0.0891637,0.679963,0.00429935,0.102011,0.0117687,1.90819,0,0,0,2038.7
attack_collective,40,0.158489,0.01,0.0870185,0.791121,0.00425351,0.118685,0.0114433,1.91245,0,0,0,2004.99
attack_collective,40,0.158489,0.01,0.0891337,0.571223,0.00429119,0.0857003,0.0118066,1.90296,0,0,0,1986.44
attack_collective,40,0.158489,0.01,0.0892178,0.612387,0.00429606,0.0918749,0.0118019,1.90497,0,0,0,1995.57
