scenario,distance_km,T_true,xi_true,T_hat,xi_hat,T_ci,xi_ci,I_AB,chi_BE,K_asymp,K_beta,secure,elapsed_ms
attack_combined,10,0.630957,0.01,0.739413,3.97727,0.0176173,0.596624,0.0528795,2.98012,0,0,0,1644.83
attack_combined,10,0.630957,0.01,0.729959,4.02553,0.0175006,0.603863,0.0521423,2.97909,0,0,0,1635.03
attack_combined,10,0.630957,0.01,0.729089,4.03425,0.0174946,0.605172,0.0520428,2.97978,0,0,0,1660.77
attack_combined,10,0.630957,0.01,0.737327,4.0057,0.017612,0.600889,0.0525792,2.98322,0,0,0,1655.3
attack_combined,10,0.630957,0.01,0.745378,3.93911,0.0176809,0.5909,0.0534115,2.9792,0,0,0,1642.11
attack_combined,20,0.398107,0.01,0.472613,6.22862,0.0140883,0.934327,0.0322841,2.96838,0,0,0,1660.45
attack_combined,20,0.398107,0.01,0.465558,6.28021,0.0139582,0.942065,0.0318852,2.96299,0,0,0,1713.5
attack_combined,20,0.398107,0.01,0.466296,6.29544,0.0139837,0.94435,0.0318686,2.966,0,0,0,1699.86
attack_combined,20,0.398107,0.01,0.473716,6.22703,0.0141123,0.934089,0.0323279,2.96999,0,0,0,1642.75
attack_combined,20,0.398107,0.01,0.471702,6.22936,0.0140681,0.934438,0.0322495,2.96699,0,0,0,1676.35
attack_combined,30,0.251189,0.01,0.285312,10.2232,0.0109203,1.53351,0.0189964,2.95233,0,0,0,1719.62
attack_combined,30,0.251189,0.01,0.293632,10.0266,0.0111051,1.50402,0.0194782,2.95971,0,0,0,1697.38
attack_combined,30,0.251189,0.01,0.287694,10.1973,0.0109822,1.52963,0.0191027,2.95676,0,0,0,1661.45
attack_combined,30,0.251189,0.01,0.298583,9.88635,0.0112059,1.48299,0.0197941,2.96193,0,0,0,1640.19
attack_combined,30,0.251189,0.01,0.290668,10.0787,0.0110347,1.51183,0.0193242,2.95585,0,0,0,1698.68
attack_combined,40,0.158489,0.01,0.185412,15.8213,0.0088162,2.37322,0.0121121,2.95153,0,0,0,1642.11
attack_combined,40,0.158489,0.01,0.186547,15.8245,0.00885757,2.37371,0.0121476,2.95632,0,0,0,1643.32
attack_combined,40,0.158489,0.01,0.183342,16.0306,0.00877121,2.40463,0.0119608,2.95287,0,0,0,1661.58
attack_combined,40,0.158489,0.01,0.180403,16.2166,0.00869024,2.43253,0.0117925,2.94925,0,0,0,1655.31
attack_combined,40,0.158489,0.01,0.186316,15.7898,0.00884423,2.36851,0.0121543,2.95373,0,0,0,1625.17
attack_combined,50,0.1,0.01,0.11295,26.1257,0.00689164,3.9189,0.007272,2.95228,0,0,0,1676.11
attack_combined,50,0.1,0.01,0.118171,24.8778,0.00704226,3.7317,0.00762942,2.94972,0,0,0,1677.09
attack_combined,50,0.1,0.01,0.119457,24.5616,0.0070769,3.68427,0.00772201,2.94831,0,0,0,1663.4
attack_combined,50,0.1,0.01,0.110504,26.6907,0.00681574,4.00364,0.00711367,2.95178,0,0,0,1681.28
attack_combined,50,0.1,0.01,0.112147,26.2555,0.00686322,3.93837,0.00722767,2.9506,0,0,0,1662.23
