scenario,distance_km,T_true,xi_true,T_hat,xi_hat,T_ci,xi_ci,I_AB,chi_BE,K_asymp,K_beta,secure,elapsed_ms
attack_intercept_resend,10,0.630957,0.01,0.303489,0.00206387,0.00784682,0.000326084,0.0440506,1.88748,0,0,0,1812.42
attack_intercept_resend,10,0.630957,0.01,0.305588,0.0124047,0.00787844,0.00187723,0.0443316,1.88933,0,0,0,1822.02
attack_intercept_resend,10,0.630957,0.01,0.309827,0.0254568,0.00793879,0.00383506,0.0449396,1.89178,0,0,0,1857.9
attack_intercept_resend,10,0.630957,0.01,0.29684,0,0.00775878,1.64969e-05,0.0429955,1.88684,0,0,0,1802.95
attack_intercept_resend,10,0.630957,0.01,0.307947,0,0.0078995,1.64839e-05,0.0447794,1.88732,0,0,0,1780.9
attack_intercept_resend,20,0.398107,0.01,0.188579,0.0353459,0.00619221,0.00531843,0.0262448,1.88503,0,0,0,1843.88
attack_intercept_resend,20,0.398107,0.01,0.188227,0,0.00617866,1.64985e-05,0.0262601,1.88133,0,0,0,1839.59
attack_intercept_resend,20,0.398107,0.01,0.191048,0.010891,0.00622743,0.00165016,0.0266578,1.88264,0,0,0,1803.86
attack_intercept_resend,20,0.398107,0.01,0.187284,0.0456707,0.00617302,0.00686716,0.0260341,1.886,0,0,0,1857.26
attack_intercept_resend,20,0.398107,0.01,0.192492,0.0165097,0.00625217,0.00249298,0.026861,1.88333,0,0,0,1780.13
attack_intercept_resend,40,0.158489,0.01,0.0768694,0.0898273,0.00395362,0.0134906,0.010308,1.87819,0,0,0,1860.59
attack_intercept_resend,40,0.158489,0.01,0.0744872,0,0.0038849,1.64822e-05,0.0100065,1.87424,0,0,0,1801.76
attack_intercept_resend,40,0.158489,0.01,0.0755694,0.0585864,0.00391828,0.00880448,0.0101387,1.87675,0,0,0,1819.31
attack_intercept_resend,40,0.158489,0.01,0.0776046,0,0.00396399,1.64708e-05,0.0104359,1.87445,0,0,0,1816.01
attack_intercept_resend,40,0.158489,0.01,0.0751038,0.0444662,0.00390542,0.00668645,0.0100788,1.87612,0,0,0,1785.14
