scenario,distance_km,T_true,xi_true,T_hat,xi_hat,T_ci,xi_ci,I_AB,chi_BE,K_asymp,K_beta,secure,elapsed_ms
attack_lo,10,0.630957,0.01,0.186047,0,0.00442848,8.57482e-06,0.0259368,1.88121,0,0,0,1422.89
attack_lo,10,0.630957,0.01,0.186963,0,0.00444091,8.58074e-06,0.0260727,1.88126,0,0,0,1423.46
attack_lo,10,0.630957,0.01,0.186729,0,0.0044371,8.57679e-06,0.026038,1.88125,0,0,0,1466.94
attack_lo,10,0.630957,0.01,0.185833,0,0.0044272,8.57972e-06,0.0259052,1.8812,0,0,0,1473.56
attack_lo,10,0.630957,0.01,0.188145,0,0.00445555,8.58318e-06,0.026248,1.88133,0,0,0,1443.28
attack_lo,20,0.398107,0.01,0.117618,0,0.00352324,8.58514e-06,0.016026,1.87707,0,0,0,1418.59
attack_lo,20,0.398107,0.01,0.116065,0,0.00349817,8.57665e-06,0.0158063,1.87697,0,0,0,1403.49
attack_lo,20,0.398107,0.01,0.115553,0,0.00349385,8.59339e-06,0.0157339,1.87694,0,0,0,1460.3
attack_lo,20,0.398107,0.01,0.113725,0,0.00346438,8.58482e-06,0.0154757,1.87682,0,0,0,1437.3
attack_lo,20,0.398107,0.01,0.118862,0,0.0035434,8.59284e-06,0.0162021,1.87715,0,0,0,1536.06
attack_lo,40,0.158489,0.01,0.0467899,0,0.00221809,8.55352e-06,0.00622944,1.87234,0,0,0,1403.96
attack_lo,40,0.158489,0.01,0.0466234,0,0.00221518,8.56156e-06,0.00620694,1.87233,0,0,0,1396.57
attack_lo,40,0.158489,0.01,0.0467115,0,0.00222064,8.58756e-06,0.00621884,1.87233,0,0,0,1408.19
attack_lo,40,0.158489,0.01,0.0461677,0,0.00220604,8.57482e-06,0.00614537,1.87229,0,0,0,1404.49
attack_lo,40,0.158489,0.01,0.0455708,0,0.00219297,8.58451e-06,0.00606474,1.87225,0,0,0,1436.8
