distance_km,T_true,xi_hat,I_AB,chi_BE,K_asymp,K_beta
1.0,0.954993,0.0,1.06083,0.752559,0.308273,0.255232
5.0,0.794328,0.0,0.932985,0.753556,0.179429,0.13278
10.0,0.630957,0.0,0.788251,0.684418,0.103832,0.0644198
15.0,0.501187,0.0,0.660379,0.59698,0.0633992,0.0303802
20.0,0.398107,0.0,0.54897,0.509571,0.0393993,0.0119508
25.0,0.316228,0.0,0.453161,0.428789,0.0243716,0.00171352
30.0,0.251189,0.0,0.371745,0.357059,0.0146855,0.0
40.0,0.158489,0.0,0.246293,0.242082,0.00421151,0.0
50.0,0.1,0.0,0.160584,0.160773,0.0,0.0
60.0,0.0630957,0.0,0.103533,0.105364,0.0,0.0
70.0,0.0398107,0.0,0.0662469,0.0684628,0.0,0.0
80.0,0.0251189,0.0,0.0421769,0.044243,0.0,0.0
