distance_km,T_true,xi_hat,I_AB,chi_BE,K_asymp,K_beta
1.0,0.954993,0.0,1.05345,0.830017,0.223431,0.170759
5.0,0.794328,0.0,0.927325,0.805231,0.122094,0.0757276
10.0,0.630957,0.0,0.784246,0.72137,0.0628759,0.0236636
15.0,0.501187,0.0,0.657587,0.625362,0.0322242,0.0
20.0,0.398107,0.0,0.547049,0.532132,0.0149173,0.0
25.0,0.316228,0.0,0.451856,0.447059,0.00479671,0.0
30.0,0.251189,0.0,0.370869,0.372011,0.0,0.0
40.0,0.158489,0.0,0.24591,0.252251,0.0,0.0
50.0,0.1,0.0,0.160421,0.167741,0.0,0.0
60.0,0.0630957,0.0,0.103466,0.110139,0.0,0.0
70.0,0.0398107,0.0,0.0662192,0.0717285,0.0,0.0
80.0,0.0251189,0.0,0.0421657,0.0464685,0.0,0.0
