distance_km,T_true,xi_hat,I_AB,chi_BE,K_asymp,K_beta
1.0,0.954993,0.0,1.01337,1.11925,0.0,0.0
5.0,0.794328,0.0,0.896411,1.01548,0.0,0.0
10.0,0.630957,0.0,0.762221,0.88019,0.0,0.0
15.0,0.501187,0.0,0.642137,0.751817,0.0,0.0
20.0,0.398107,0.0,0.536368,0.635348,0.0,0.0
25.0,0.316228,0.0,0.444571,0.532388,0.0,0.0
30.0,0.251189,0.0,0.365959,0.443014,0.0,0.0
40.0,0.158489,0.0,0.243748,0.301779,0.0,0.0
50.0,0.1,0.0,0.159499,0.202309,0.0,0.0
60.0,0.0630957,0.0,0.103082,0.134173,0.0,0.0
70.0,0.0398107,0.0,0.0660618,0.088352,0.0,0.0
80.0,0.0251189,0.0,0.0421018,0.0579045,0.0,0.0
