distance_km,T_true,T_hat,xi_hat,xi_eff,I_AB,chi_BE,K_asymp,K_beta
1.0,0.954993,0.602394,0.0,0.2,1.04874,0.873931,0.174809,0.122372
5.0,0.794328,0.51769,0.0,0.2,0.923711,0.835332,0.0883794,0.0421938
10.0,0.630957,0.425191,0.0,0.2,0.781685,0.743253,0.0384311,0.0
15.0,0.501187,0.346868,0.0,0.2,0.655798,0.642354,0.0134436,0.0
20.0,0.398107,0.281462,0.0,0.2,0.545817,0.545747,6.99526e-05,0.0
25.0,0.316228,0.227405,0.0,0.2,0.451018,0.458154,0.0,0.0
30.0,0.251189,0.183103,0.0,0.2,0.370306,0.381137,0.0,0.0
40.0,0.158489,0.117796,0.0,0.2,0.245663,0.258505,0.0,0.0
50.0,0.1,0.0752501,0.0,0.2,0.160316,0.17205,0.0,0.0
60.0,0.0630957,0.0478666,0.0,0.2,0.103422,0.113106,0.0,0.0
70.0,0.0398107,0.0303704,0.0,0.2,0.0662013,0.073764,0.0,0.0
80.0,0.0251189,0.0192413,0.0,0.2,0.0421584,0.0478597,0.0,0.0
