distance_km,T_true,T_hat,xi_hat,xi_eff,I_AB,chi_BE,K_asymp,K_beta
1.0,0.954993,0.955472,0.0154023,0.0154023,1.0869,0.311695,0.775203,0.720858
5.0,0.794328,0.794776,0.0164665,0.0164665,0.952699,0.489521,0.463179,0.415544
10.0,0.630957,0.631367,0.0181003,0.0181003,0.801945,0.509882,0.292063,0.251966
15.0,0.501187,0.50156,0.0201519,0.0201519,0.669728,0.471269,0.198459,0.164973
20.0,0.398107,0.398446,0.0227289,0.0227289,0.55524,0.415426,0.139814,0.112052
25.0,0.316228,0.316535,0.0259666,0.0259666,0.45729,0.35698,0.100309,0.0774448
30.0,0.251189,0.251467,0.0300348,0.0300348,0.374412,0.301944,0.0724678,0.0537472
40.0,0.158489,0.158716,0.0415742,0.0415742,0.247335,0.210111,0.0372242,0.0248575
50.0,0.1,0.100183,0.0598093,0.0598093,0.160943,0.143679,0.0172643,0.00921711
60.0,0.0630957,0.0632435,0.0886351,0.0886351,0.103629,0.0981623,0.00546673,0.000285284
70.0,0.0398107,0.0399295,0.134212,0.134212,0.0662513,0.0679305,0.0,0.0
80.0,0.0251189,0.0252141,0.206282,0.206282,0.0421565,0.0482259,0.0,0.0
