distance_km,xi_0.005,xi_0.01,xi_0.02,xi_0.05,xi_0.1
1,0.734079,0.702873,0.646971,0.510844,0.341499
5,0.420765,0.403148,0.371166,0.291005,0.186066
10,0.253054,0.242031,0.221710,0.169424,0.098485
15,0.163821,0.156243,0.142085,0.104847,0.052935
20,0.109487,0.104020,0.093690,0.066004,0.026536
25,0.073911,0.069852,0.062108,0.041012,0.010350
30,0.049517,0.046447,0.040541,0.024220,0.000090
40,0.019721,0.017902,0.014361,0.004340,0.000000
50,0.003552,0.002446,0.000273,0.000000,0.000000
60,0.000000,0.000000,0.000000,0.000000,0.000000
70,0.000000,0.000000,0.000000,0.000000,0.000000
80,0.000000,0.000000,0.000000,0.000000,0.000000
