xi,T_true,T_hat,xi_hat,xi_eff,I_AB,chi_BE,K_asymp,K_beta
0.0,0.316228,0.317694,0.02517,0.02517,0.457319,0.356323,0.100996,0.0781296
0.005,0.316228,0.317656,0.0301596,0.0301596,0.457137,0.360369,0.0967678,0.0739109
0.01,0.316228,0.31764,0.035139,0.035139,0.456955,0.364255,0.0926999,0.0698522
0.02,0.316228,0.317618,0.0450942,0.0450942,0.456592,0.371654,0.0849378,0.0621082
0.03,0.316228,0.317601,0.0550478,0.0550478,0.45623,0.378651,0.0775786,0.0547671
0.05,0.316228,0.317573,0.0749538,0.0749538,0.455507,0.39172,0.0637872,0.0410118
0.08,0.316228,0.317541,0.104813,0.104813,0.454427,0.40961,0.0448173,0.022096
0.1,0.316228,0.317523,0.124719,0.124719,0.45371,0.420674,0.0330357,0.0103502
0.15,0.316228,0.317484,0.17449,0.17449,0.451927,0.446102,0.00582437,0
0.2,0.316228,0.317452,0.224265,0.224265,0.450158,0.469116,0,0
