distance_km,T_true,xi_hat,I_AB,chi_BE,K_asymp,K_beta,V_A,alpha,beta
1,0.954993,0.0,1.784,1.30833,0.475669,0.439989,9.0,3.0,0.98
5,0.794328,0.0,1.6068,1.33598,0.270819,0.238684,9.0,3.0,0.98
10,0.630957,0.0,1.39819,1.23982,0.158364,0.1304,9.0,3.0,0.98
15,0.501187,0.0,1.20547,1.10568,0.0997917,0.0756824,9.0,3.0,0.98
20,0.398107,0.0,1.02987,0.964701,0.0651695,0.0445721,9.0,3.0,0.98
25,0.316228,0.0,0.872105,0.828816,0.0432892,0.0258471,9.0,3.0,0.98
30,0.251189,0.0,0.732324,0.70342,0.0289033,0.0142569,9.0,3.0,0.98
40,0.158489,0.0,0.504722,0.492125,0.0125975,0.0025031,9.0,3.0,0.98
50,0.1,0.0,0.0418525,0.055174,0.0,0.0,1.0,1.0,0.95
60,0.0630957,0.0,0.0265882,0.0366316,0.0,0.0,1.0,1.0,0.95
70,0.0398107,0.0,0.0168491,0.0242298,0.0,0.0,1.0,1.0,0.95
80,0.0251189,0.0,0.0106604,0.0159828,0.0,0.0,1.0,1.0,0.95
