distance_km,T_true,T_hat,xi_hat,xi_eff,I_AB,chi_BE,K_asymp,K_beta,V_A,alpha,beta
1,0.954993,0.813412,0.0,0.176471,1.77393,1.40958,0.364345,0.328867,9.0,3.0,0.98
5,0.794328,0.676868,0.0,0.176471,1.59881,1.39589,0.20292,0.170943,9.0,3.0,0.98
10,0.630957,0.536659,0.0,0.176471,1.39228,1.2797,0.112579,0.0847331,9.0,3.0,0.98
15,0.501187,0.426731,0.0,0.176471,1.20116,1.13513,0.0660317,0.0420085,9.0,3.0,0.98
20,0.398107,0.339474,0.0,0.176471,1.02677,0.987585,0.0391879,0.0186525,9.0,3.0,0.98
25,0.316228,0.269375,0.0,0.176471,0.869909,0.847107,0.0228022,0.00540403,9.0,3.0,0.98
30,0.251189,0.215598,0.0,0.176471,0.10203,0.136999,0.0,0.0,1.0,1.0,0.95
40,0.158489,0.13717,0.0,0.176471,0.0655173,0.0925524,0.0,0.0,1.0,1.0,0.95
50,0.1,0.0869692,0.0,0.176471,0.0418083,0.0620268,0.0,0.0,1.0,1.0,0.95
60,0.0630957,0.055717,0.0,0.176471,0.0265704,0.0413544,0.0,0.0,1.0,1.0,0.95
70,0.0398107,0.0341688,0.0,0.176471,0.0168419,0.0274708,0.0,0.0,1.0,1.0,0.95
80,0.0251189,0.0231835,0.0,0.176471,0.0106575,0.0181968,0.0,0.0,1.0,1.0,0.95
