distance_km,T_true,xi_hat,I_AB,chi_BE,K_asymp,K_beta,V_A,alpha,beta,scale
1,0.954993,0.0297328,1.81526,0.786602,1.02866,0.992353,9.0,3.0,0.98,1.0
5,0.794328,0.0337106,1.63059,1.07877,0.551817,0.519205,9.0,3.0,0.98,1.0
10,0.630957,0.0398284,1.4147,1.09192,0.322779,0.294485,9.0,3.0,0.98,1.0
15,0.501187,0.047524,1.21654,1.01081,0.205732,0.181401,9.0,3.0,0.98,1.0
20,0.398107,0.0572044,1.03698,0.90187,0.135107,0.114368,9.0,3.0,0.98,1.0
25,0.316228,0.0,0.876792,0.783371,0.0934213,0.0758855,9.0,3.0,0.98,0.97
30,0.251189,0.0,0.735596,0.667012,0.0685835,0.0538715,9.0,3.0,0.98,0.97
40,0.158489,0.0,0.506257,0.467994,0.0382627,0.0281376,9.0,3.0,0.98,0.97
50,0.1,0.0,0.339727,0.317815,0.0219114,0.0151168,9.0,3.0,0.98,0.97
60,0.0630957,0.0,0.15888,0.147449,0.0114311,0.00825348,6.25,2.5,0.98,0.97
70,0.0398107,0.0,0.102306,0.0956841,0.00662149,0.00457538,6.25,2.5,0.98,0.97
80,0.0251189,0.0,0.0654072,0.0615731,0.00383407,0.00252593,6.25,2.5,0.98,0.97
