distance_km,T_true,xi_hat,I_AB,chi_BE,K_asymp,K_beta,V_A,alpha,beta,saturation_level
1,0.954993,0.0,1.8239,0.465577,1.35833,1.32185,9.0,3.0,0.98,4.0
5,0.794328,0.0,1.6383,0.915994,0.722307,0.689541,9.0,3.0,0.98,4.0
10,0.630957,0.0,1.42138,0.985961,0.435416,0.406988,9.0,3.0,0.98,4.0
15,0.501187,0.0,1.22231,0.929742,0.292572,0.268126,9.0,3.0,0.98,4.0
20,0.398107,0.0,1.04195,0.834367,0.20758,0.186741,9.0,3.0,0.98,4.0
25,0.316228,0.0,0.880644,0.728493,0.152151,0.134538,9.0,3.0,0.98,4.0
30,0.251189,0.0,0.738281,0.624355,0.113926,0.0991603,9.0,3.0,0.98,4.0
40,0.158489,0.0,0.507513,0.441025,0.0664873,0.056337,9.0,3.0,0.98,4.0
50,0.1,0.0,0.340289,0.300224,0.0400646,0.0332589,9.0,3.0,0.98,4.0
60,0.0630957,0.0,0.223844,0.19926,0.024584,0.0201072,9.0,3.0,0.98,4.0
70,0.0398107,0.0,0.102379,0.0879427,0.0144359,0.0123883,6.25,2.5,0.98,4.0
80,0.0251189,0.0,0.065437,0.0564206,0.00901637,0.00770763,6.25,2.5,0.98,4.0
