distance_km,K_baseline,K_attack,K_alpha,K_beta,K_all
1,0.720858,0.255232,0.446514,0.308273,0.567418
5,0.415544,0.13278,0.206152,0.179429,0.31681
10,0.251966,0.0644198,0.0891307,0.103832,0.184493
15,0.164973,0.0303802,0.0395183,0.0633992,0.116754
20,0.112052,0.0119508,0.0156833,0.0393993,0.0769703
25,0.0774448,0.00171352,0.00298314,0.0243716,0.0518475
30,0.0537472,0.0,0.0,0.0146855,0.0352798
40,0.0248575,0.0,0.0,0.00421151,0.0163172
50,0.00921711,0.0,0.0,0.0,0.00717569
60,0.000285284,0.0,0.0,0.0,0.0027319
70,0.0,0.0,0.0,0.0,0.000636763
80,0.0,0.0,0.0,0.0,0.0
