distance_km,K_baseline,K_attack,K_alpha,K_beta,K_all
1,0.720858,0.170759,0.319238,0.223431,0.439564
5,0.415544,0.0757276,0.132875,0.122094,0.243066
10,0.251966,0.0236636,0.0429647,0.0628759,0.136214
15,0.164973,0.0,0.00617008,0.0322242,0.0817104
20,0.112052,0.0,0.0,0.0149173,0.0502621
25,0.0774448,0.0,0.0,0.00479671,0.0309258
30,0.0537472,0.0,0.0,0.0,0.0186107
40,0.0248575,0.0,0.0,0.0,0.00541774
50,0.00921711,0.0,0.0,0.0,0.0
60,0.000285284,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0
