distance_km,K_baseline,K_attack,K_alpha,K_beta,K_calib,K_all
1,0.720858,0.0,0.0,0.0,0.639613,1.24122
5,0.415544,0.0,0.0,0.0,0.360145,0.628883
10,0.251966,0.0,0.0,0.0,0.208084,0.359677
15,0.164973,0.0,0.0,0.0,0.12681,0.227328
20,0.112052,0.0,0.0,0.0,0.077261,0.149068
25,0.0774448,0.0,0.0,0.0,0.0492699,0.103152
30,0.0537472,0.0,0.0,0.0,0.034188,0.0756706
40,0.0248575,0.0,0.0,0.0,0.0169203,0.0422628
50,0.00921711,0.0,0.0,0.0,0.0085007,0.0242813
60,0.000285284,0.0,0.0,0.0,0.00424763,0.0141515
70,0.0,0.0,0.0,0.0,0.00206694,0.00830311
80,0.0,0.0,0.0,0.0,0.000950229,0.00488245
