distance_km,K_baseline,K_attack,K_alpha,K_beta,K_calib,K_all
1,0.720858,0.122372,0.581723,0.174809,0.842704,1.53599
5,0.415544,0.0421938,0.369469,0.0883794,0.489867,0.78136
10,0.251966,0.0,0.241804,0.0384311,0.303129,0.462494
15,0.164973,0.0,0.168844,0.0134436,0.204127,0.308048
20,0.112052,0.0,0.12226,6.99526e-05,0.143921,0.217435
25,0.0774448,0.0,0.0906413,0.0,0.104502,0.158842
30,0.0537472,0.0,0.0683153,0.0,0.077454,0.118663
40,0.0248575,0.0,0.0401077,0.0,0.0443576,0.0690554
50,0.00921711,0.0,0.024215,0.0,0.0263386,0.0415464
60,0.000285284,0.0,0.0148662,0.0,0.0159922,0.0254696
70,0.0,0.0,0.00922088,0.0,0.00984769,0.0157879
80,0.0,0.0,0.00575585,0.0,0.00611837,0.0098524
