scenario,distance_km,T_true,xi_true,T_hat,xi_hat,T_ci,xi_ci,I_AB,chi_BE,K_asymp,K_beta,secure,elapsed_ms,attack_name,attack_params
attacks_comparison_none,5,0.794328,0.01,0.710375,0,0.0174521,7.89185e-06,0.0450765,0.000510923,0.0445655,0.043664,1,1168.56,none,
attacks_comparison_none,10,0.630957,0.01,0.563886,0,0.0155437,7.88665e-06,0.0359199,0.000653198,0.0352667,0.0345483,1,1146.07,none,
attacks_comparison_none,20,0.398107,0.01,0.35521,0,0.012331,7.87923e-06,0.0227678,0.000608499,0.0221593,0.0217039,1,1144.64,none,
attacks_comparison_none,30,0.251189,0.01,0.223664,0,0.00978193,7.87455e-06,0.0144073,0.000455618,0.0139517,0.0136635,1,1149.46,none,
attacks_comparison_none,50,0.1,0.01,0.0885242,0,0.00615211,7.86973e-06,0.00575289,0.00020921,0.00554368,0.00542862,1,1195.94,none,
attacks_comparison_entangling_cloner,5,0.794328,0.01,0.710375,0,0.0174521,7.89185e-06,0.0450765,0.000510923,0.0445655,0.043664,1,1152.65,entangling_cloner,
attacks_comparison_entangling_cloner,10,0.630957,0.01,0.563886,0,0.0155437,7.88665e-06,0.0359199,0.000653198,0.0352667,0.0345483,1,1155.02,entangling_cloner,
attacks_comparison_entangling_cloner,20,0.398107,0.01,0.35521,0,0.012331,7.87923e-06,0.0227678,0.000608499,0.0221593,0.0217039,1,1148.09,entangling_cloner,
attacks_comparison_entangling_cloner,30,0.251189,0.01,0.223664,0,0.00978193,7.87455e-06,0.0144073,0.000455618,0.0139517,0.0136635,1,1172.83,entangling_cloner,
attacks_comparison_entangling_cloner,50,0.1,0.01,0.0885242,0,0.00615211,7.86973e-06,0.00575289,0.00020921,0.00554368,0.00542862,1,1156.89,entangling_cloner,
attacks_comparison_intercept_resend,5,0.794328,0.01,0.569172,0,0.0158045,8.07781e-06,0.0377117,0.0590929,0,0,0,1432.77,intercept_resend,
attacks_comparison_intercept_resend,10,0.630957,0.01,0.451172,0,0.0140733,8.08019e-06,0.0310828,0.0243516,0.00673122,0.00610956,1,1429.4,intercept_resend,
attacks_comparison_intercept_resend,20,0.398107,0.01,0.283819,0,0.0111595,8.07652e-06,0.0207237,0.00405175,0.0166719,0.0162575,1,1435.52,intercept_resend,
attacks_comparison_intercept_resend,30,0.251189,0.01,0.181721,0,0.00892722,8.07237e-06,0.0135609,0.000465393,0.0130955,0.0128243,1,1452.88,intercept_resend,
attacks_comparison_intercept_resend,50,0.1,0.01,0.0725167,0,0.0056357,8.06178e-06,0.005613,1.8939e-05,0.00559406,0.0054818,1,1438.27,intercept_resend,
attacks_comparison_lo_manipulation,5,0.794328,0.01,0.710375,0,0.0174521,7.89185e-06,0.0450765,0.000510923,0.0445655,0.043664,1,1202.65,lo,
attacks_comparison_lo_manipulation,10,0.630957,0.01,0.563886,0,0.0155437,7.88665e-06,0.0359199,0.000653198,0.0352667,0.0345483,1,1191.68,lo,
attacks_comparison_lo_manipulation,20,0.398107,0.01,0.35521,0,0.012331,7.87923e-06,0.0227678,0.000608499,0.0221593,0.0217039,1,1184.51,lo,
attacks_comparison_lo_manipulation,30,0.251189,0.01,0.223664,0,0.00978193,7.87455e-06,0.0144073,0.000455618,0.0139517,0.0136635,1,1179,lo,
attacks_comparison_lo_manipulation,50,0.1,0.01,0.0885242,0,0.00615211,7.86973e-06,0.00575289,0.00020921,0.00554368,0.00542862,1,1190.81,lo,
attacks_comparison_saturation,5,0.794328,0.01,0.710375,0,0.0174521,7.89185e-06,0.0450765,0.000510923,0.0445655,0.043664,1,1326.75,saturation,
attacks_comparison_saturation,10,0.630957,0.01,0.563886,0,0.0155437,7.88665e-06,0.0359199,0.000653198,0.0352667,0.0345483,1,1351.88,saturation,
attacks_comparison_saturation,20,0.398107,0.01,0.35521,0,0.012331,7.87923e-06,0.0227678,0.000608499,0.0221593,0.0217039,1,1335.02,saturation,
attacks_comparison_saturation,30,0.251189,0.01,0.223664,0,0.00978193,7.87455e-06,0.0144073,0.000455618,0.0139517,0.0136635,1,1299.51,saturation,
attacks_comparison_saturation,50,0.1,0.01,0.0885242,0,0.00615211,7.86973e-06,0.00575289,0.00020921,0.00554368,0.00542862,1,1292.75,saturation,
