scenario,distance_km,T_true,xi_true,T_hat,xi_hat,T_ci,xi_ci,I_AB,chi_BE,K_asymp,K_beta,secure,elapsed_ms,attack_name,attack_params
distance_sweep,1,0.954993,0.01,0.854479,0,0.0191467,7.89697e-06,0.0540251,0.000170939,0.0538541,0.0527736,1,1167.52,"none",""
distance_sweep,2,0.912011,0.01,0.815924,0,0.0187082,7.8956e-06,0.0516365,0.000288944,0.0513476,0.0503148,1,1171.48,"none",""
distance_sweep,5,0.794328,0.01,0.710375,0,0.0174521,7.89185e-06,0.0450765,0.000510923,0.0445655,0.043664,1,1160.51,"none",""
distance_sweep,10,0.630957,0.01,0.563886,0,0.0155437,7.88665e-06,0.0359199,0.000653198,0.0352667,0.0345483,1,1147,"none",""
distance_sweep,15,0.501187,0.01,0.447568,0,0.0138444,7.88251e-06,0.0286049,0.00066025,0.0279446,0.0273725,1,1150.58,"none",""
distance_sweep,20,0.398107,0.01,0.35521,0,0.012331,7.87923e-06,0.0227678,0.000608499,0.0221593,0.0217039,1,1149.66,"none",""
distance_sweep,30,0.251189,0.01,0.223664,0,0.00978193,7.87455e-06,0.0144073,0.000455618,0.0139517,0.0136635,1,1138.94,"none",""
distance_sweep,40,0.158489,0.01,0.140759,0,0.00775858,7.87159e-06,0.00910711,0.000314777,0.00879234,0.00861019,1,1141.35,"none",""
distance_sweep,50,0.1,0.01,0.0885242,0,0.00615211,7.86973e-06,0.00575289,0.00020921,0.00554368,0.00542862,1,1140.53,"none",""
distance_sweep,70,0.0398107,0.01,0.0349165,0,0.00386327,7.86781e-06,0.00229302,8.75511e-05,0.00220546,0.0021596,1,1134.68,"none",""
distance_sweep,100,0.01,0.01,0.01,0,0.00191181,7.86686e-06,0.000576322,2.25152e-05,0.000553807,0.000542281,1,1155.49,"none",""
